1.000000000000000000e+00,4.500000000000000111e-01,3.899999999999999821e-03,3.200000000000000262e-04,-3.488119999999999887e+00
2.000000000000000000e+00,4.600000000000000200e-01,6.799999999999999621e-03,5.699999999999999772e-04,-3.246669999999999945e+00
3.000000000000000000e+00,4.699999999999999734e-01,8.999999999999999320e-03,7.500000000000000156e-04,-3.124940000000000051e+00
4.000000000000000000e+00,4.799999999999999822e-01,1.439999999999999961e-02,1.199999999999999895e-03,-2.920819999999999972e+00
5.000000000000000000e+00,4.899999999999999911e-01,1.930000000000000118e-02,1.610000000000000103e-03,-2.793620000000000214e+00
6.000000000000000000e+00,5.000000000000000000e-01,3.440000000000000002e-02,2.870000000000000155e-03,-2.542619999999999880e+00
7.000000000000000000e+00,5.100000000000000089e-01,4.250000000000000305e-02,3.540000000000000178e-03,-2.450790000000000024e+00
8.000000000000000000e+00,5.200000000000000178e-01,4.909999999999999781e-02,4.089999999999999886e-03,-2.388100000000000112e+00
9.000000000000000000e+00,5.300000000000000266e-01,6.660000000000000642e-02,5.550000000000000246e-03,-2.255710000000000104e+00
1.000000000000000000e+01,5.400000000000000355e-01,9.890000000000000180e-02,8.240000000000000796e-03,-2.083979999999999944e+00
1.100000000000000000e+01,5.500000000000000444e-01,1.424999999999999878e-01,1.187000000000000034e-02,-1.925370000000000026e+00
1.200000000000000000e+01,5.600000000000000533e-01,2.061999999999999944e-01,1.718000000000000083e-02,-1.764890000000000070e+00
1.300000000000000000e+01,5.699999999999999512e-01,3.205000000000000071e-01,2.671000000000000110e-02,-1.573350000000000026e+00
1.400000000000000000e+01,5.799999999999999600e-01,4.309000000000000052e-01,3.590999999999999748e-02,-1.444800000000000084e+00
1.500000000000000000e+01,5.899999999999999689e-01,5.380000000000000338e-01,4.483000000000000179e-02,-1.348400000000000043e+00
1.600000000000000000e+01,5.999999999999999778e-01,5.772000000000000464e-01,4.809999999999999692e-02,-1.317849999999999966e+00
